('In-Berlin', 'https://dns1.in-berlin.de/dns-query')
('Indus.me', 'https://dns.indust.me/dns-query')
('Institut national de recherche en sciences et technologies du numérique', 'https://qlf-doh.inria.fr/dns-query')
('Institute of Operating Systems and Computer Networks', 'https://doh.ibr.cs.tu-bs.de/dns-query')
('Internet Initiative Japan', 'https://public.dns.iij.jp/dns-query')
('Invisv', 'https://dns.invisv.com/dns-query')
('IPv6DNS', 'https://dns.ipv6dns.com/dns-query')
('Irre.li', 'https://irre.li/dns-query')
('Iruma Technology', 'https://dns1.irumatech.com/dns-query')
('IT Нинзя', 'https://dns.iamninja.ru/dns-query')
('itdept.pro', 'https://dns.itdept.pro/dns-query')
('Jackyes.ovh', 'https://jackyes.ovh/dns-query')
('jamesxue.xyz', 'https://tj.jamesxue.xyz/dns-query')
('Jfchenier.ca', 'https://adguard.jfchenier.ca/dns-query')
('jnorton.us', 'https://adg.jnorton.us/dns-query')
('joaofidelix.com.br', 'https://dns.joaofidelix.com.br/dns-query')
('Jonas Hahnfeld', 'https://dns.hahnjo.de/dns-query')
('jp.tiar.app', 'https://jp.tiar.app/dns-query')
('jp.tiar.app', 'https://jp.tiarap.org/dns-query')
('jsanagustin.net', 'https://adguard1.jsanagustin.net/dns-query')
('Jucker Software Engineering', 'https://dns.jucker.engineering/dns-query')
('jurre-home', 'https://jurre-home.duckdns.org/dns-query')
('Kamil Szczepański', 'https://dns.kamilszczepanski.com/dns-query')
('Karl.ONE', 'https://dns.karl.one/dns-query')
('Kawa.tf', 'https://dns.kawa.tf/dns-query')
('keithchung', 'https://keithchung.hopto.org/dns-query')
('Kernel-error', 'https://dns.kernel-error.de/dns-query')
('kescherDNS', 'https://dns.kescher.at/dns-query')
('kilabit.info', 'https://kilabit.info/dns-query')
('Killtw.im', 'https://doh.killtw.im/dns-query')
('Kishore', 'https://adguard.avdkishore.dev/dns-query')
('korzhov', 'https://korzhov.dev/dns-query')
('kpsn.org', 'https://dart.kpsn.org/dns-query')
('Krnl.eu', 'https://xray.krnl.eu/dns-query')
('krtekvpn', 'https://krtekvpn.duckdns.org/dns-query')
('La Contre-Voie', 'https://doh.lacontrevoie.fr/dns-query')
('Lars Lehmn', 'https://dns.lars-lehmann.net/dns-query')
('Lastentarvike', 'https://lastentarvike.fi/dns-query')
('LavaDNS', 'https://eu1.dns.lavate.ch/dns-query')
('leadmon.net', 'https://adguard1.leadmon.net/dns-query')
('lege.despagne.net', 'https://adguard.lege.despagne.net/dns-query')
('lekdijk.online', 'https://externalmobiel.lekdijk.online/dns-query')
('Limo Telu', 'https://sby-doh.limotelu.org/dns-query')
('Lindung', 'https://lindung.pp.ua/dns-query')
('Lindung', 'https://lindung.pp.ua/family')
('lz0724.com', 'https://orau.lz0724.com/dns-query')
('maolaohei.xyz', 'https://dns.maolaohei.xyz/dns-query')
('Masters of Cloud', 'https://masters-of-cloud.de/dns-query')
('meddy94.de', 'https://adguard.meddy94.de/dns-query')
('Meeo.win', 'https://dns.meeo.win/dns-query')
('MegaNerd', 'https://chewbacca.meganerd.nl/dns-query')
('Meshkov.info', 'https://testaghome.meshkov.info/dns-query')
('mhsystems.net', 'https://securenet.mhsystems.net/dns-query')
('mikeliu.org', 'https://dns.mikeliu.org/dns-query')
('Minh Truong', 'https://dns.truong.fi/dns-query')
('Mobik', 'https://dnstls.mobik.com/dns-query')
('modr.club', 'https://ps1.modr.club/dns-query')
('Molinero', 'https://dns.molinero.dev/dns-query')
('moog.sh', 'https://dns.moog.sh/dns-query')
('moonssif.com', 'https://dns.moonssif.com/dns-query')
('Morbitzer', 'https://www.morbitzer.de/dns-query')
('msr177', 'https://msr177.com/dns-query')
('msxnet.ru', 'https://dns.msxnet.ru/dns-query')
('Mullvad', 'https://doh.mullvad.net/dns-query')
('Mullvad', 'https://adblock.doh.mullvad.net/dns-query')
('MULTIMEDIA CONCEPT', 'https://blockerads.multimediaconcept.fr/dns-query')
('murgi.de', 'https://dns.murgi.de/dns-query')
('muxinghe.cn', 'https://dns.muxinghe.cn/dns-query')
('muxyuji.ru', 'https://www.muxyuji.ru/dns-query')
('mydns.network', 'https://freedom.mydns.network/dns-query')
('MyFRITZ', 'https://echoe1yidzu4ioo5.myfritz.net/dns-query')
('Myon', 'https://blackhole.myon.lu/dns-query')
('mytm.cc', 'https://vm.mytm.cc/dns-query')
('mywire.org', 'https://area51.mywire.org/dns-query')
('mzrme.cn', 'https://dns.mzrme.cn/dns-query')
('nas-server.ru', 'https://dns.nas-server.ru/dns-query')
('neocortex.dk', 'https://dns.norvig.dk/dns-query')
('Neubsi', 'https://dns.neubsi.at/dns-query')
('Nexific.it', 'https://doh.luigi.nexific.it/dns-query')
('NextDNS', 'https://dns.nextdns.io')
('Nhtsky', 'https://dns.nhtsky.com/dns-query')
('NIC.LV', 'https://doh.lv/dns-query')
('NIC.LV', 'https://doh.nic.lv/dns-query')
('NiYaWe', 'https://doh.niyawe.de/dns-query')
('Njalla', 'https://dns.njal.la/dns-query')
('No Ad DNS', 'https://resolver.noaddns.com/dns-query')
('Node15', 'https://pi1.node15.com/dns-query')
('nolo.ltd', 'https://sink.nolo.ltd/dns-query')
('novali.date', 'https://dns.novali.date/dns-query')
('Novg.net', 'https://dns.novg.net/dns-query')
('ns', 'https://n5.lsasss.com/dns-query')
('NS3', 'https://dns8.org/dns-query')
('NS3', 'https://n0.eu/dns-query')
('NS3', 'https://ns3.com/dns-query')
('NS3', 'https://ns3.cx/dns-query')
('NS3', 'https://ns3.link/dns-query')
('Nullgate.net', 'https://dns.nullgate.net/dns-query')
('o1lt', 'https://o1.lt/dns-query')
('ofdoom.net', 'https://dns.ofdoom.net/dns-query')
('OneDNS.cc', 'https://secure.onedns.cc/dns-query')
('OneDNS.net', 'https://doh.onedns.net/dns-query')
('Open BLD DNS', 'https://a-bld.sys-adm.in/dns-query')
('Open BLD DNS', 'https://bld.sys-adm.in/dns-query')
('opnsource.com.au', 'https://dns.opnsource.com.au/dns-query')
('osefcorp', 'https://osefcorp.duckdns.org/dns-query')
('Ozérim', 'https://1a.ns.ozer.im/dns-query')
('PaesaDNS', 'https://dns.paesa.es/dns-query')
('PanSzelescik', 'https://dns.panszelescik.pl/dns-query')
('Path of Grace', 'https://doh.gcp.pathofgrace.com/dns-query')
('piekacz.pl', 'https://adguard.piekacz.pl/dns-query')
('pleumkungz.com', 'https://thanos.pleumkungz.com/dns-query')
('porteii', 'https://dns.porteii.com/dns-query')
('PriviLab.net', 'https://dns.privilab.net/dns-query')
('project-evoex', 'https://project-evoex.de/dns-query')
('punono', 'https://punono.duckdns.org/dns-query')
('PureDNS', 'https://puredns.org/dns-query')
('Qihoo 360', 'https://doh.360.cn/dns-query')
('qquackDNS', 'https://ns1.qquack.org/dns-query')
('Quad9', 'https://dns.quad9.net/dns-query')
('Quad9', 'https://dns9.quad9.net/dns-query')
('Quad9', 'https://dns10.quad9.net/dns-query')
('Quad9', 'https://dns11.quad9.net/dns-query')
('QWER DNS', 'https://ant.dns.qwer.pw/dns-query')
('QWER DNS', 'https://dog.dns.qwer.pw/dns-query')
('QWER DNS', 'https://lion.dns.qwer.pw/dns-query')
('QWER DNS', 'https://tiger.dns.qwer.pw/dns-query')
('QWER DNS', 'https://frog.dns.qwer.pw/dns-query')
('R0cket', 'https://resolver.r0cket.net/dns-query')
('R1BNC', 'https://r1bnc.com/dns-query')
('rafn.is', 'https://dns.rafn.is/dns-query')
('Rahul', 'https://ag.ssrahul96.xyz/dns-query')
('Rayneau', 'https://rayneau.fr/dns-query')
('reckoningslug', 'https://dns.reckoningslug.name/dns-query')
('Restena', 'https://kaitain.restena.lu/dns-query')
('RethinkDNS', 'https://basic.rethinkdns.com/dns-query')
('RethinkDNS', 'https://sky.rethinkdns.com/1')
('Rezhajul', 'https://doh.rezhajul.io/dns-query')
('rferee.dev', 'https://resolver.rferee.dev/dns-query/')
('Rin.sh', 'https://dns.rin.sh/dns-query')
('ronc.ru', 'https://dns.ronc.ru/dns-query')
('RoTunneling', 'https://dns.rotunneling.net/dns-query/public')
('RougaCh', 'https://adguard-dns.rouga.ch/dns-query')
('SafeServe', 'https://safeservedns.com/dns-query')
('Safe Surfer', 'https://doh.safesurfer.io/dns-query')
('Saikat', 'https://o.rsaikat.com/dns-query')
('sbdns.co.in', 'https://sbdns.co.in/dns-query')
('Sellan DNS', 'https://dns.sellan.fr/dns-query')
('shalenkov', 'https://shalenkov.dev/dns-query')
('Shecan', 'https://free.shecan.ir/dns-query')
('Shecan', 'https://dns.shecan.ir/dns-query')
('Shecan', 'https://pro.shecan.ir/dns-query')
('Shimul D', 'https://do.shimul.me/dns-query')
('Shimul D', 'https://dns.shimul.me/dns-query')
('Shunhang', 'https://dns.lsho.top::444/dns-query')
('Shuting', 'https://adguard.shuting.idv.tw/dns-query')
('Silen.org', 'https://dns.silen.org/dns-query')
('Silentlybren', 'https://dns.silentlybren.com/dns-query')
('siry.de', 'https://dns.siry.de/dns-query')
('sitdns', 'https://sitdns.com/dns-query')
('skrep.eu', 'https://dns.skrep.eu/dns-query')
('Slinkyman.net', 'https://dns.slinkyman.net/dns-query')
('Softcom', 'https://clientdns3.softcom.net/dns-query')
('SPIL', 'https://dns.spil.co.id/dns-query')
('Startup Stack', 'https://dns.startupstack.tech/dns-query')
('Studentenstadt Freimann', 'https://muli.stusta.mhn.de/dns-query')
('Studentenstadt Freimann', 'https://esel.stusta.mhn.de/dns-query')
('stvsk.ml', 'https://dns.stvsk.ml/dns-query')
('SunTrack', 'https://guard.sntrk.ru/dns-query')
('Surfshark', 'https://dns.surfshark.com/dns-query')
('surt', 'https://surt.ml/dns-query')
('SWITCH', 'https://dns.switch.ch/dns-query')
('Syaifullah', 'https://dns.syaifullah.com/dns-query')
('Syshero', 'https://doh.syshero.org/dns-query')
('t53.de', 'https://dns.t53.de/dns-query')
('Telekom Deutschland', 'https://dns.telekom.de/dns-query')
('TeraDNS', 'https://de.teradns.org/dns-query')
('TeraDNS', 'https://ny.teradns.org/dns-query')
('TÉZOÏ', 'https://cloud.tezoi.com/dns-query')
('therifleman.name', 'https://dns.therifleman.name/dns-query')
('Tiarap', 'https://doh.tiar.app/dns-query')
('Tiarap', 'https://doh.tiarap.org/dns-query')
('Timmes.nl', 'https://timmes.nl/dns-query')
('tk31z', 'https://tk31z.com/dns-query')
('Tls-data.de', 'https://dns.tls-data.de/dns-query')
('tlz.asia', 'https://tlz.asia/dns-query')
('toairs', 'https://d.toairs.com/dns-query')
('Totoro625', 'https://doh.totoro.pub/dns-query/')
('TPM', 'https://dns.apigw.online/dns-query')
('tuandns', 'https://tuandns.duckdns.org/dns-query')
('tungdnsne', 'https://tungdnsne.duckdns.org/dns-query')
('TWNIC', 'https://dns.twnic.tw/dns-query')
('Tyler G. Wahl', 'https://dns-east.tylerwahl.com/dns-query')
('typaza', 'https://typaza.com/dns-query')
('Ueni.dyndns.org', 'https://ueni.dyndns.org/dns-query')
('Università di Padova', 'https://galileo.math.unipd.it/dns-query')
('Unstoppable Domains', 'https://resolver.unstoppable.io/dns-query')
('Vasili Sviridov', 'https://tor.vasi.li/dns-query')
('vendor vista', 'https://securedns.vendorvista.xyz/dns-query')
('VinnyP', 'https://dns.vinnyp.xyz/dns-query')
('Virga DNS', 'https://virga.pp.ua/dns-query')
('Virga DNS', 'https://virga.pp.ua/porn')
('vMath', 'https://dns.vmath.my.id/dns-query')
('wakgood', 'https://dns.wakgood.net/dns-query')
('wantaquddin', 'https://wantaquddin.com/dns-query')
('xcom.pro', 'https://doh.xcom.pro/dns-query')
('xenergy.cc', 'https://xenergy.cc/dns-query')
('Yarp', 'https://yarp.lefolgoc.net/dns-query')
('yazilimatolye.com', 'https://lion.yazilimatolye.com/dns-query')
('ychen.cf', 'https://ychen.cf/dns-query')
('ychen', 'https://ychen.ga/dns-query')
('Youni', 'https://dns.youni.win/dns-query')
('yovbak', 'https://yovbak.com/dns-query')
('Zfsystem', 'https://dns.zfsystem.tech/dns-query')
('zxcvb.pp.ua', 'https://zxcvb.pp.ua/dns-query')
('0ooo.icu', 'https://dns.0ooo.icu/dns-query')
('240130034.xyz', 'https://t2c.240130034.xyz/dns-query')
('280blocker', 'https://doh003.280blocker.net/dns-query')
('52306.org', 'https://dns.52306.org/dns-query')
('5ososea', 'https://dns.5ososea.com/dns-query')
('5ososea', 'https://family.5ososea.com/dns-query')
('5ososea', 'https://kids.5ososea.com/dns-query')
('68360612.xyz', 'https://jp.68360612.xyz/dns-query')
('7sec', 'https://dns.7sec.com.br/dns-query/')
('7vpn', 'https://dns.7vpn.com/dns-query')
('886886886.xyz', 'https://dns.886886886.xyz/dns-query')
('@jedisct1', 'https://doh.crypto.sx/dns-query')
('@null31', 'https://ibuki.cgnat.net/dns-query')
('@publicarray', 'https://doh-2.seby.io/dns-query')
